MOH_PRO_ID,NAME,_ADDRESS,COMMUNITY,POSTALCODE,OGF_ID,LON,LAT,LTC_Telephone,LTC_Fax,LTC_Website,_LHIN,_HCRC,_ADMINISTRATOR,_LICENSEE,_MANAGEMENT_FIRM,SERV_TYPE,SERV_DET,_LICENSED_BEDS,_SHORT_TERM_STAY_BEDS_APPROVAL,_RESIDENTS_COUNCIL,_FAMILY_COUNCIL,_ACCREDITATION,_FLSA,ADDITIONAL_INFORMATION
M507,Brucelea Haven Long Term Care Home - Corporation of the County of Bruce,41 McGivern Street West P.O. Box 1600,Walkerton,N0G 2V0,127908199,-81.15426799,44.12120998,(519) 881-1570,(519) 881-0231,http://www.brucecounty.on.ca,South West,South West,Griffin Allen,Corporation Of The County Of Bruce,Not provided,Long-Term Care Home,MHFA,144,No,Not provided,No,No,No,Not provided
2730,Caressant Care on Bonnie Place,15 Bonnie Place,St. Thomas,N5R 5T8,127908216,-81.16164877,42.77305115,(519) 633-6493,(519) 633-9329,Not provided,South West,South West,Ms Suzanne Mezenberg,Caressant-care Nursing And Retirement Homes Limited,Not provided,Long-Term Care Home,For-Profit,116,No,Not provided,No,Yes,No,Not provided
2741,Grace Villa Nursing Home,45 Lockton Crescent,Hamilton,L8V 4V5,127909042,-79.84709309,43.21146779,(905) 387-4812,(905) 387-4814,http://www.gracevilla.com,Hamilton Niagara Haldimand Brant (Hnhb),Hamilton Niagara Haldimand Brant (HNHB),Ms Kate Macdonald,Grace Villa Limited,Apans Health Services,Long-Term Care Home,For-Profit,184,No,Not provided,No,Yes,No,Not provided
2898,Heron Terrace Long Term Care Community,11550 McNorton Street,Windsor,N8P 1T9,127909068,-82.89931867,42.31720858,(519) 979-6730,(519) 979-9935,http://www.srgroup.ca,Erie St. Clair,Erie St. Clair,Ms Amy Sworik,S & R Nursing Homes Ltd.,Not provided,Long-Term Care Home,For-Profit,140,No,Not provided,No,Yes,No,Not provided
2979,The Village of Glendale Crossing,3030 Singleton Avenue,London,N6L 0B6,127911406,-81.27179982,42.93893947,(519) 668-5600,(519) 668-5604,Not provided,South West,South West,Ms Cindy Awde,The Homewood Corporation,Oakwood Retirement Communities Inc.,Long-Term Care Home,For-Profit,192,No,Not provided,No,Yes,No,Not provided
2872,Afton Park Place Long Term Care Community,1200 Afton Drive,Sarnia,N7S 6L6,127907944,-82.36143976,42.97631702,(519) 336-2362,(519) 336-3674,http://ltc.snr.on.ca/aftonparkplace_sarnia.htm,Erie St. Clair,Erie St. Clair,Mr Jeff Harvey,S & R Nursing Homes Ltd.,Not provided,Long-Term Care Home,For-Profit,128,No,Not provided,Yes,Yes,No,Not provided
2982,Arbour Heights,564 Tanner Drive,Kingston,K7M 0C3,127907954,-76.55890662,44.23929821,(613) 544-1155,(613) 544-1101,http://www.arbourheights.ca,South East,South East,Ms Christine Sellery,"Axr Operating (National) Lp, By Its General Partners",Not provided,Long-Term Care Home,For-Profit,174,No,Not provided,Yes,Yes,No,Not provided
2263,Banwell Gardens Care Centre,3000 Banwell Road,Windsor,N8N 2M4,127907959,-82.89979367,42.31059188,(519) 735-3204,(519) 735-1836,http://www.banwellgardenscarecentre.ca,Erie St. Clair,Erie St. Clair,Ms Tanya Adams (Interim),Rykka Care Centres Lp,Not provided,Long-Term Care Home,For-Profit,142,Yes,Not provided,Yes,Yes,No,Not provided
2890,Bella Senior Care Residences,8720 Willoughby Drive,Niagara Falls,L2G 7X3,127907965,-79.04552802,43.05083299,(905) 295-2727,(905) 295-0190,http://bellaseniorcare.com,Hamilton Niagara Haldimand Brant (Hnhb),Hamilton Niagara Haldimand Brant (HNHB),Ms Veronica Swartz,Bella Senior Care Residences Inc.,Extendicare (Canada) Inc.,Long-Term Care Home,For-Profit,161,No,Not provided,Yes,Yes,No,Not provided
2541,Berkshire Care Centre,350 Dougall Avenue,Windsor,N9A 4P4,127907971,-83.04161551,42.31630817,(519) 256-7868,(519) 256-1991,http://www.berkshirecarecentre.ca/,Erie St. Clair,Erie St. Clair,Ms Erika Hooker,Rykka Care Centres Lp,Not provided,Long-Term Care Home,For-Profit,231,No,Not provided,Yes,Yes,No,Not provided
