Geographic area,Date,Epi week,At least 1 dose count,% of total population with at least 1 dose,Completed primary series count,% of total population that completed their primary series,Completed primary series and 1 booster dose count,% of total population that completed their primary series and 1 booster dose,Completed primary series and 2+ booster doses count,% of total population that completed their primary series and 2+ booster doses,At least 1 dose coverage (%): under 5,At least 1 dose coverage (%): 5 - 11,At least 1 dose coverage (%): 12 - 17,At least 1 dose coverage (%): 18 - 29,At least 1 dose coverage (%): 30 - 39,At least 1 dose coverage (%): 40 - 49,At least 1 dose coverage (%): 50 - 59,At least 1 dose coverage (%): 60 - 69,At least 1 dose coverage (%): 70 - 79,At least 1 dose coverage (%): 80+,Completed primary series coverage (%): under 5,Completed primary series coverage (%): 5 - 11,Completed primary series coverage (%): 12 - 17,Completed primary series coverage (%): 18 - 29,Completed primary series coverage (%): 30 - 39,Completed primary series coverage (%): 40 - 49,Completed primary series coverage (%): 50 - 59,Completed primary series coverage (%): 60 - 69,Completed primary series coverage (%): 70 - 79,Completed primary series coverage (%): 80+,Completed primary series and 1 booster dose coverage (%): 5 - 11,Completed primary series and 1 booster dose coverage (%): 12 - 17,Completed primary series and 1 booster dose coverage (%): 18 - 29,Completed primary series and 1 booster dose coverage (%): 30 - 39,Completed primary series and 1 booster dose coverage (%): 40 - 49,Completed primary series and 1 booster dose coverage (%): 50 - 59,Completed primary series and 1 booster dose coverage (%): 60 - 69,Completed primary series and 1 booster dose coverage (%): 70 - 79,Completed primary series and 1 booster dose coverage (%): 80+,Completed primary series and 2+ booster doses coverage (%): 12 - 17,Completed primary series and 2+ booster doses coverage (%): 18 - 29,Completed primary series and 2+ booster doses coverage (%): 30 - 39,Completed primary series and 2+ booster doses coverage (%): 40 - 49,Completed primary series and 2+ booster doses coverage (%): 50 - 59,Completed primary series and 2+ booster doses coverage (%): 60 - 69,Completed primary series and 2+ booster doses coverage (%): 70 - 79,Completed primary series and 2+ booster doses coverage (%): 80+,At least 1 dose count: under 5,At least 1 dose count: 5 - 11,At least 1 dose count: 12 - 17,At least 1 dose count: 18 - 29,At least 1 dose count: 30 - 39,At least 1 dose count: 40 - 49,At least 1 dose count: 50 - 59,At least 1 dose count: 60 - 69,At least 1 dose count: 70 - 79,At least 1 dose count: 80+,Completed primary series count: under 5,Completed primary series count: 5 - 11,Completed primary series count: 12 - 17,Completed primary series count: 18 - 29,Completed primary series count: 30 - 39,Completed primary series count: 40 - 49,Completed primary series count: 50 - 59,Completed primary series count: 60 - 69,Completed primary series count: 70 - 79,Completed primary series count: 80+,Completed primary series and 1 booster dose count: 5 - 11,Completed primary series and 1 booster dose count: 12 - 17,Completed primary series and 1 booster dose count: 18 - 29,Completed primary series and 1 booster dose count: 30 - 39,Completed primary series and 1 booster dose count: 40 - 49,Completed primary series and 1 booster dose count: 50 - 59,Completed primary series and 1 booster dose count: 60 - 69,Completed primary series and 1 booster dose count: 70 - 79,Completed primary series and 1 booster dose count: 80+,Completed primary series and 2+ booster doses count: 12 - 17,Completed primary series and 2+ booster doses count: 18 - 29,Completed primary series and 2+ booster doses count: 30 - 39,Completed primary series and 2+ booster doses count: 40 - 49,Completed primary series and 2+ booster doses count: 50 - 59,Completed primary series and 2+ booster doses count: 60 - 69,Completed primary series and 2+ booster doses count: 70 - 79,Completed primary series and 2+ booster doses count: 80+,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6,Pfizer-BioNTech Comirnaty,Moderna Spikevax,AstraZeneca Vaxzevria,COVISHIELD,Janssen Jcovden (Johnson & Johnson),Novavax Nuvaxovid,Medicago Covifenz,Pfizer-BioNTech Comirnaty Bivalent BA.4/5,Moderna Spikevax Bivalent BA.1
Ontario,"September 30, 2021",39,11336577,74.9,10634649,70.3,67127,0.4,23,0,0,0,63,80,81.9,86.1,88.3,92.7,95.2,95.4,0,0,55.8,71.2,74.9,80.9,84.5,90,93.5,93.9,0,0,0,0.1,0.1,0.2,0.5,1,5.3,0,0,0,0,0,0,0,0,245,59,618194,2033119,1755015,1613369,1761769,1729484,1164767,659241,98,32,547995,1809589,1603760,1515134,1684994,1679212,1144071,649228,0,87,782,1371,2175,4230,8910,12821,36751,0,0,9,6,1,5,1,1,9453,17425,2791,1,0,0,24630,5038,1,0,0,0,0,0,0
Ontario,"October 1, 2021",39,11347672,75,10658115,70.5,69116,0.5,23,0,0,0,63.1,80.1,82,86.2,88.4,92.8,95.2,95.4,0,0,56.2,71.5,75.1,81,84.6,90.1,93.5,94,0,0,0,0.1,0.1,0.2,0.5,1.1,5.4,0,0,0,0,0,0,0,0,246,61,619519,2036151,1757613,1615174,1762979,1730243,1165002,659361,98,32,551214,1816974,1608810,1518491,1687417,1680541,1144569,649431,0,94,822,1464,2306,4453,9282,13270,37425,0,0,9,6,1,5,1,1,10751,22620,2703,2,0,0,30507,5569,0,0,0,0,0,0,0
Ontario,"October 2, 2021",39,11355800,75.1,10676378,70.6,69753,0.5,23,0,0,0,63.2,80.2,82.1,86.3,88.4,92.8,95.2,95.4,0,0,56.5,71.7,75.3,81.2,84.7,90.2,93.5,94,0,0,0,0.1,0.1,0.2,0.5,1.1,5.4,0,0,0,0,0,0,0,0,248,61,620646,2038566,1759415,1616383,1763844,1730723,1165164,659427,98,32,554016,1823118,1612589,1520914,1689190,1681486,1144845,649548,0,98,848,1512,2359,4551,9442,13405,37538,0,0,9,6,1,5,1,1,7930,17590,959,0,0,0,23248,3231,0,0,0,0,0,0,0
Ontario,"October 3, 2021",40,11360521,75.1,10686157,70.6,70021,0.5,23,0,0,0,63.3,80.3,82.2,86.3,88.5,92.8,95.2,95.4,0,0,56.6,71.9,75.4,81.2,84.7,90.2,93.6,94,0,0,0,0.1,0.1,0.2,0.5,1.1,5.4,0,0,0,0,0,0,0,0,248,61,621274,2039983,1760470,1617124,1764338,1730990,1165256,659453,98,32,555451,1826419,1614672,1522256,1690129,1681959,1144984,649612,0,99,856,1533,2390,4585,9510,13484,37564,0,0,9,6,1,5,1,1,4557,9448,383,2,0,0,12793,1597,0,0,0,0,0,0,0
Ontario,"October 4, 2021",40,11369071,75.1,10701928,70.7,71927,0.5,23,0,0,0,63.4,80.4,82.3,86.4,88.5,92.9,95.2,95.4,0,0,56.8,72.1,75.5,81.4,84.8,90.2,93.6,94,0,0,0,0.1,0.1,0.2,0.5,1.1,5.6,0,0,0,0,0,0,0,0,250,64,622042,2042442,1762546,1618520,1765322,1731558,1165473,659527,99,32,557130,1831640,1618255,1524507,1691778,1682838,1145354,649745,0,101,887,1583,2456,4751,9860,13907,38382,0,0,9,6,1,5,1,1,8270,14995,2463,1,0,0,21536,4193,0,0,0,0,0,0,0
Ontario,"October 5, 2021",40,11378657,75.2,10720321,70.9,74670,0.5,24,0,0,0,63.5,80.5,82.4,86.5,88.6,92.9,95.3,95.4,0,0,57,72.3,75.7,81.5,84.9,90.3,93.6,94,0,0,0,0.1,0.1,0.3,0.6,1.2,5.7,0,0,0,0,0,0,0,0,250,64,622980,2045124,1764919,1620045,1766395,1732203,1165733,659613,99,32,559119,1837732,1622275,1527180,1693703,1683955,1145769,649902,0,107,931,1656,2590,4995,10301,14518,39572,0,0,9,6,1,5,2,1,9351,17453,3732,0,0,0,25465,5070,1,0,0,0,0,0,0
Ontario,"October 6, 2021",40,11387988,75.3,10737315,71,77638,0.5,25,0,0,0,63.6,80.6,82.5,86.5,88.6,92.9,95.3,95.5,0,0,57.2,72.5,75.9,81.6,85,90.4,93.7,94.1,0,0,0,0.1,0.1,0.3,0.6,1.2,5.9,0,0,0,0,0,0,0,0,251,64,623848,2047705,1767216,1621552,1767518,1732817,1165958,659723,100,32,560963,1842993,1626192,1529653,1695548,1684998,1146184,650097,0,111,962,1731,2686,5220,10731,15109,41088,0,1,9,6,1,5,2,1,9091,16279,3921,0,0,0,23849,5439,3,0,0,0,0,0,0
Ontario,"October 7, 2021",40,11398653,75.3,10756029,71.1,80228,0.5,25,0,0,0,63.7,80.7,82.6,86.6,88.7,93,95.3,95.5,0,0,57.4,72.8,76.1,81.8,85.1,90.4,93.7,94.1,0,0,0,0.1,0.2,0.3,0.6,1.3,6.1,0,0,0,0,0,0,0,0,255,64,624888,2050534,1769858,1623243,1768873,1733569,1166209,659818,102,32,563056,1848897,1630372,1532349,1697543,1686229,1146606,650286,0,116,1005,1821,2819,5452,11158,15740,42117,0,1,9,6,1,5,2,1,10429,17883,3430,1,0,0,26567,5173,3,0,0,0,0,0,0
Ontario,"October 8, 2021",40,11409254,75.4,10776930,71.2,82226,0.5,26,0,0,0,63.8,80.8,82.7,86.7,88.8,93,95.3,95.5,0,0,57.7,73,76.3,81.9,85.2,90.5,93.7,94.1,0,0,0,0.1,0.2,0.3,0.6,1.3,6.2,0,0,0,0,0,0,0,0,257,67,626085,2053244,1772321,1625007,1770202,1734344,1166468,659915,104,32,565838,1855361,1635081,1535378,1699698,1687444,1147013,650417,0,122,1059,1913,2958,5672,11550,16197,42755,0,2,9,6,1,5,2,1,10370,19849,2733,3,0,0,28170,4780,0,1,0,0,0,0,4
Ontario,"October 9, 2021",40,11416887,75.5,10791959,71.3,82780,0.5,27,0,0,0,63.9,80.9,82.8,86.8,88.8,93,95.3,95.5,0,0,57.9,73.2,76.5,82.1,85.3,90.5,93.7,94.1,0,0,0,0.1,0.2,0.3,0.6,1.3,6.2,0,0,0,0,0,0,0,0,258,67,627134,2055321,1774078,1626229,1771064,1734817,1166594,659979,105,32,568092,1860319,1638266,1537440,1701227,1688150,1147257,650507,0,128,1084,1956,3017,5754,11702,16322,42817,0,2,9,6,1,5,3,1,7435,14308,847,1,0,0,20039,2552,0,0,0,0,0,0,0
