Geography,Title,Population (2021),,,
Algoma,District,113777,,Obtained from:,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/index.cfm?Lang=E
Brant,City,39474,,,
Brantford,City,104688,,,
Bruce,County,73396,,,
Chatham-Kent,City,103988,,,
Cochrane,District,77963,,,
Dufferin,County,66257,,,
Durham,Region,696992,,,
Elgin,County,94752,,,
Essex,County,422860,,,
Frontenac,County,161780,,,
Greater Sudbury,City,166004,,,
Grey,County,100905,,,
Haldimand,City,49216,,,
Haliburton,County,20571,,,
Halton,Region,596637,,,
Hamilton,City,569353,,,
Hastings,County,145746,,,
Huron,County,61366,,,
Kawartha Lakes,City,79247,,,
Kenora,District,66000,,,
Lambton,County,128154,,,
Lanark,County,75760,,,
Leeds and Grenville,County,104070,,,
Lennox and Addington,County,45182,,,
Manitoulin,District,13935,,,
Middlesex,County,500563,,,
Muskoka,District,66674,,,
Niagara,Region,477941,,,
Nipissing,District,84716,,,
Norfolk,City,67490,,,
Northumberland,County,89356,,,
Ottawa,City,1017449,,,
Oxford,County,121781,,,
Parry Sound,District,46909,,,
Peel,Region,1451022,,,
Perth,County,81565,,,
Peterborough,County,147681,,,
Prescott and Russell,County,95639,,,
Prince Edward,City,25704,,,
Rainy River,District,19437,,,
Renfrew,County,106365,,,
Simcoe,County,533169,,,
"Stormont, Dundas and Glengarry",County,114637,,,
Sudbury,District,22368,,,
Thunder Bay,District,146682,,,
Timiskaming,District,31424,,,
Toronto,City,2794356,,,
Waterloo,Region,587165,,,
Wellington,County,241026,,,
York,Region,1173334,,,
,,,,,
