"age_group","employed","age","income","race","city","h_size","date","first_dose","second_dose","get_vaccine","income_ord","Municipal.status","Geographic_area","Geographic_area_title","location","Health_Region","LHIN"
"65_and_over","no",98,"under_15000",NA,"Toronto",NA,2021-09-30,"no",NA,"definitely_not_get","under_15000",NA,"Toronto","City of","Toronto","Toronto","Toronto Central"
"25_34","yes",26,"under_15000","south_asian","Etobicoke","1",2021-09-30,"yes","yes",NA,"under_15000",NA,"Toronto","City of","All other cities","Toronto","Toronto Central"
"45_54","no",51,"15000_24999","white_caucasian","Englehart","3",2021-09-30,"yes","yes",NA,"15000_24999","Single Tier","Timiskaming","District","All other cities","North East","North East"
"16_24","yes",21,"15000_24999",NA,"Brampton","1",2021-09-30,"yes","yes",NA,"15000_24999","Lower Tier","Peel","Regional Municipality of","All other cities","Central","Central West"
"55_64","yes",58,"90000_109999","white_caucasian","Milton","2",2021-09-30,"yes","yes",NA,"over_90000","Lower Tier","Halton","Regional Municipality of","All other cities","Central","Mississauga Halton"
"55_64","yes",60,"over_110000",NA,"Richmond Hill",NA,2021-10-01,"yes","yes",NA,"over_90000","Lower Tier","York","Regional Municipality of","All other cities","Central","Central"
"25_34","no",26,"40000_59999","latin_american","Meaford","2",2021-10-01,"yes","yes",NA,"40000_59999","Lower Tier","Grey","County of","All other cities","West","South West"
"65_and_over","no",98,"over_110000","other","London","1",2021-10-01,"yes","yes",NA,"over_90000","Single Tier","Middlesex","County of","All other cities","West","South West"
"55_64","yes",57,"90000_109999","white_caucasian","Kingston","1",2021-10-01,"yes","yes",NA,"over_90000","Single Tier","Frontenac","County of","All other cities","East","South East"
"65_and_over","no",98,"25000_39999",NA,"Huntsville",NA,2021-10-01,"no",NA,"probably_not_get","25000_39999","Lower Tier","Muskoka","District Municipality of","All other cities","Central","North Simcoe Muskoka"
"16_24","no",18,"40000_59999","other","Kitchener","5",2021-10-01,"yes","yes",NA,"40000_59999","Lower Tier","Waterloo","Regional Municipality of","All other cities","West","Waterloo Wellington"
"16_24","no",22,"40000_59999","white_caucasian","Hamilton","6",2021-10-01,"no",NA,"definitely_not_get","40000_59999","Lower Tier","Northumberland","County of","All other cities","West","Hamilton Niagara Haldimand Brant (Hnhb)"
"35_44","no",43,"over_110000",NA,"Toronto",NA,2021-10-01,"no",NA,"definitely_not_get","over_90000",NA,"Toronto","City of","Toronto","Toronto","Toronto Central"
"35_44","yes",40,"60000_89999","arab_middle_eastern","Concord","1",2021-10-01,"yes","yes",NA,"60000_89999",NA,"York","Regional Municipality of","All other cities","Central","Central"
