city,Geographic.area,Geographic.area.title,LHIN
Acton,Halton,Region,Mississauga Halton
Algoma Mills,Algoma,District,North East
Alliston,Simcoe,County,North Simcoe Muskoka
Almonte,Lanark,County,Champlain
Amhertsburg,Essex,County,Erie St. Clair
Ancaster,Hamilton,City,Hamilton Niagara Haldimand Brant (Hnhb)
Angus,Simcoe,County,North Simcoe Muskoka
Ardendale,Frontenac,County,South East
Arkell,Wellington,County,Waterloo Wellington
Ashton,Lanark,County,Champlain
Attawapiskat,Kenora,District,North East
Ayr,Waterloo,Region,Waterloo Wellington
Ayton,Grey,County,South West
Baden,Waterloo,Region,Waterloo Wellington
Badjeros,Grey,County,South West
Barrhaven,Ottawa,City,Champlain
Beamsville,Niagara,Region,Hamilton Niagara Haldimand Brant (Hnhb)
Beeton,Simcoe,County,Central
Belmont,Elgin,County,South West
Belwood,Wellington,County,Waterloo Wellington
Big Trout Lake,Kenora,District,North West
Binbrook,Hamilton,City,Hamilton Niagara Haldimand Brant (Hnhb)
Blackstock,Durham,Region,Central East
Blenheim,Chatham-Kent,City,Erie St. Clair
Bloomfield,Prince Edward,City,South East
Bolton,Peel,Region,Central West
Bradford,Simcoe,County,Central
Brechin,Simcoe,County,North Simcoe Muskoka
Breslau,Waterloo,Region,Waterloo Wellington
Bridgenorth,Peterborough,County,Central East
Brooklin,Durham,Region,Central East
Caledonia,Haldimand,City,Hamilton Niagara Haldimand Brant (Hnhb)
Capreol,Greater Sudbury,City,North East
Cargill,Bruce,County,South West
Casselman,Prescott and Russell,County,Champlain
Chatham,Chatham-Kent,City,Erie St. Clair
Chelmsford,Greater Sudbury,City,North East
Chesterville,"Stormont, Dundas and Glengarry",County,Champlain
Clarksburg,Grey,County,South West
Coe Hill,Hastings,County,South East
Colborne,Northumberland,County,Central East
Concord,York,Region,Central
Corbyville,Hastings,County,South East
Corunna,Lambton,County,Erie St. Clair
Courtice,Durham,Region,Central East
Cumberland,Ottawa,City,Champlain
Downsview,Toronto,City,Toronto Central
Dresden,Chatham-Kent,City,Erie St. Clair
Drumbo,Oxford,County,South West
Dundas,Hamilton,City,Hamilton Niagara Haldimand Brant (Hnhb)
Dunrobin,Ottawa,City,Champlain
East York,Toronto,City,Toronto Central
Eganville,Renfrew,County,Champlain
Egbert,Simcoe,County,North Simcoe Muskoka
Elk Lake,Timiskaming,District,North East
Enterprise,Lennox and Addington,County,South East
Erin,Wellington,County,Waterloo Wellington
Etobicoke,Toronto,City,Toronto Central
Fenelon Falls,Kawartha Lakes,City,Central East
Fingal,Elgin,County,South West
Flesherton,Grey,County,South West
Forest,Lambton,County,Erie St. Clair
Georgetown,Halton,Region,Mississauga Halton
Godfrey,Frontenac,County,South East
Grand Bend,Lambton,County,Erie St. Clair
Haileybury,Timiskaming,District,North East
Harriston,Wellington,County,Waterloo Wellington
Hastings,Northumberland,County,Central East
Havelock,Peterborough,County,Central East
Hood,Lanark,County,Champlain
Hudson,Timiskaming,District,North East
Innisfil,Simcoe,County,North Simcoe Muskoka
Janetville,Kawartha Lakes,City,Central East
Jarvis,Haldimand,City,Hamilton Niagara Haldimand Brant (Hnhb)
Kanata,Ottawa,City,Champlain
Kasabonika,Kenora,District,North West
Keswick,York,Region,Central
Kinburn,Huron,County,South West
Kirkfield,Kawartha Lakes,City,Central East
Kleinburg Station,York,Region,Central
Lakefield,Peterborough,County,Central East
Lanark,Lanark,County,Champlain
Lansdowne,Leeds and Grenville,County,South East
Lindsay,Kawartha Lakes,City,Central East
Lively,Greater Sudbury,City,North East
Longlac,Thunder Bay,District,North West
Loretto,Simcoe,County,Central
Manotick Station,Ottawa,City,Champlain
Maple,York,Region,Central
Marathon,Thunder Bay,District,North West
Monkton,Perth,County,South West
Mono,Dufferin,County,Central West
Moose Creek,"Stormont, Dundas and Glengarry",County,Champlain
Moosonee,Cochrane,District,North East
Morrisburg,"Stormont, Dundas and Glengarry",County,Champlain
Mount Albert,York,Region,Central
Mount Brydges,Middlesex,County,South West
Mount Elgin,Oxford,County,South West
Mountain Grove,Frontenac,County,South East
Nepean,Ottawa,City,Champlain
Nobleton,York,Region,Central
North Woodslee,Essex,County,Erie St. Clair
North York,Toronto,City,Toronto Central
Omemee,Kawartha Lakes,City,Central East
Orchardville,Grey,County,South West
Orleans,Ottawa,City,Champlain
Pakenham,Lanark,County,Champlain
Paris,Brant,City,Hamilton Niagara Haldimand Brant (Hnhb)
Petawawa,Renfrew,County,Champlain
Picton,Prince Edward,City,South East
Pontypool,Kawartha Lakes,City,Central East
Port Elgin,Bruce,County,South West
Port Rowan,Norfolk,City,South West
Ramore,Cochrane,District,North East
Richmond,Ottawa,City,Champlain
Ridgetown,Chatham-Kent,City,Erie St. Clair
Ridgeway,Niagara,Region,Hamilton Niagara Haldimand Brant (Hnhb)
Rockland,Prescott and Russell,County,Champlain
Rockwood,Wellington,County,Waterloo Wellington
Rodney,Elgin,County,South West
Russell,Prescott and Russell,County,Champlain
Sandy Lake,Kenora,District,North West
Scarborough,Toronto,City,Toronto Central
Scotland,Brant,City,Hamilton Niagara Haldimand Brant (Hnhb)
Severn Bridge,Muskoka,District,North Simcoe Muskoka
Slate Falls,Kenora,District,North West
South Porcupine,Cochrane,District,North East
Springfield,Elgin,County,South West
Springford,Oxford,County,South West
Stevensville,Niagara,Region,Hamilton Niagara Haldimand Brant (Hnhb)
Stittsville,Ottawa,City,Champlain
Stoney Creek,Hamilton,City,Hamilton Niagara Haldimand Brant (Hnhb)
Stouffville,York,Region,Central
Sturgeon Falls,Nipissing,District,North East
Sunderland,Durham,Region,Central East
Sundridge,Parry Sound,District,North East
Sutton West,York,Region,Central
Sydenham,Frontenac,County,South East
Thorndale,Middlesex,County,South West
Thornhill,York,Region,Central
Thornton,Simcoe,County,North Simcoe Muskoka
Thorold,Niagara,Region,Hamilton Niagara Haldimand Brant (Hnhb)
Tottenham,Simcoe,County,Central
Trenton,Hastings,County,South East
Unionville,York,Region,Central
Utopia,Simcoe,County,North Simcoe Muskoka
Utterson,Muskoka,District,North Simcoe Muskoka
Wallaceburg,Chatham-Kent,City,Erie St. Clair
Wasaga Beach,Simcoe,County,North Simcoe Muskoka
Washago,Simcoe,County,North Simcoe Muskoka
Waterdown,Hamilton,City,Hamilton Niagara Haldimand Brant (Hnhb)
Waterford,Norfolk,City,Hamilton Niagara Haldimand Brant (Hnhb)
Westport,Leeds and Grenville,County,South East
Williamsburg,"Stormont, Dundas and Glengarry",County,Champlain
Woodbridge,York,Region,Central
Woodlawn,Ottawa,City,Champlain
