city,Geographic.area,Geographic.area.title,LHIN
Algoma Mills,Algoma,District,North East
Paris,Brant,City,Hamilton Niagara Haldimand Brant (Hnhb)
Scotland,Brant,City,Hamilton Niagara Haldimand Brant (Hnhb)
Burford,Brant,City of,Hamilton Niagara Haldimand Brant (Hnhb)
Cargill,Bruce,County,South West
Port Elgin,Bruce,County,South West
Tara,Bruce,County of,South West
Mildmay,Bruce,County of,South West
Blenheim,Chatham-Kent,City,Erie St. Clair
Chatham,Chatham-Kent,City,Erie St. Clair
Dresden,Chatham-Kent,City,Erie St. Clair
Ridgetown,Chatham-Kent,City,Erie St. Clair
Wallaceburg,Chatham-Kent,City,Erie St. Clair
Moosonee,Cochrane,District,North East
Ramore,Cochrane,District,North East
South Porcupine,Cochrane,District,North East
Moose Factory,Cochrane,District,North East
Fort Albany,Cochrane,District,North East
Mono,Dufferin,County,Central West
Mulmur,Dufferin,County of,Central West
Blackstock,Durham,Region,Central East
Brooklin,Durham,Region,Central East
Courtice,Durham,Region,Central East
Sunderland,Durham,Region,Central East
Newcastle,Durham,Regional Municipality of,Central East
Orono,Durham,Regional Municipality of,Central East
Belmont,Elgin,County,South West
Fingal,Elgin,County,South West
Rodney,Elgin,County,South West
Springfield,Elgin,County,South West
Amhertsburg,Essex,County,Erie St. Clair
North Woodslee,Essex,County,Erie St. Clair
Harrow,Essex,County of,Erie St. Clair
Ardendale,Frontenac,County,South East
Godfrey,Frontenac,County,South East
Mountain Grove,Frontenac,County,South East
Sydenham,Frontenac,County,South East
Star Corners,Frontenac,County of,South East
Capreol,Greater Sudbury,City,North East
Chelmsford,Greater Sudbury,City,North East
Lively,Greater Sudbury,City,North East
Garson,Greater Sudbury,City of,North East
Ayton,Grey,County,South West
Badjeros,Grey,County,South West
Clarksburg,Grey,County,South West
Flesherton,Grey,County,South West
Orchardville,Grey,County,South West
Dundalk,Grey,County of,South West
Neustadt,Grey,County of,South West
Caledonia,Haldimand,City,Hamilton Niagara Haldimand Brant (Hnhb)
Jarvis,Haldimand,City,Hamilton Niagara Haldimand Brant (Hnhb)
Acton,Halton,Region,Mississauga Halton
Georgetown,Halton,Region,Mississauga Halton
Campbellville,Halton,Regional Municipality of,Mississauga Halton
Limehouse,Halton,Regional Municipality of,Mississauga Halton
Ancaster,Hamilton,City,Hamilton Niagara Haldimand Brant (Hnhb)
Binbrook,Hamilton,City,Hamilton Niagara Haldimand Brant (Hnhb)
Dundas,Hamilton,City,Hamilton Niagara Haldimand Brant (Hnhb)
Stoney Creek,Hamilton,City,Hamilton Niagara Haldimand Brant (Hnhb)
Waterdown,Hamilton,City,Hamilton Niagara Haldimand Brant (Hnhb)
Coe Hill,Hastings,County,South East
Corbyville,Hastings,County,South East
Trenton,Hastings,County,South East
Frankford,Hastings,County of,South East
Kinburn,Huron,County,South West
Dashwood,Huron,County of,South West
Seaforth,Huron,County of,South West
Fenelon Falls,Kawartha Lakes,City,Central East
Janetville,Kawartha Lakes,City,Central East
Kirkfield,Kawartha Lakes,City,Central East
Lindsay,Kawartha Lakes,City,Central East
Omemee,Kawartha Lakes,City,Central East
Pontypool,Kawartha Lakes,City,Central East
Bobcaygeon,Kawartha Lakes,City of,Central East
Attawapiskat,Kenora,District,North East
Big Trout Lake,Kenora,District,North West
Kasabonika,Kenora,District,North West
Sandy Lake,Kenora,District,North West
Slate Falls,Kenora,District,North West
Corunna,Lambton,County,Erie St. Clair
Forest,Lambton,County,Erie St. Clair
Grand Bend,Lambton,County,Erie St. Clair
Wyoming,Lambton,County,Erie St. Clair
Almonte,Lanark,County,Champlain
Ashton,Lanark,County,Champlain
Hood,Lanark,County,Champlain
Lanark,Lanark,County,Champlain
Pakenham,Lanark,County,Champlain
Lansdowne,Leeds and Grenville,County,South East
Westport,Leeds and Grenville,County,South East
Spencerville,Leeds and Grenville,United Counties of,South East
Enterprise,Lennox and Addington,County,South East
Cloyne,Lennox and Addington,County of,South East
Yarker,Lennox and Addington,County of,South East
Mount Brydges,Middlesex,County,South West
Thorndale,Middlesex,County,South West
Lucan,Middlesex,County of,South West
Severn Bridge,Muskoka,District,North Simcoe Muskoka
Utterson,Muskoka,District,North Simcoe Muskoka
Beamsville,Niagara,Region,Hamilton Niagara Haldimand Brant (Hnhb)
Ridgeway,Niagara,Region,Hamilton Niagara Haldimand Brant (Hnhb)
Stevensville,Niagara,Region,Hamilton Niagara Haldimand Brant (Hnhb)
Thorold,Niagara,Region,Hamilton Niagara Haldimand Brant (Hnhb)
Fonthill,Niagara,Regional Municipality of,Hamilton Niagara Haldimand Brant (Hnhb)
Sturgeon Falls,Nipissing,District,North East
Port Rowan,Norfolk,City,South West
Waterford,Norfolk,City,Hamilton Niagara Haldimand Brant (Hnhb)
Wyecombe,Norfolk,City,Hamilton Niagara Haldimand Brant (Hnhb)
Colborne,Northumberland,County,Central East
Hastings,Northumberland,County,Central East
Baltimore,Northumberland,County of,Central East
Barrhaven,Ottawa,City,Champlain
Cumberland,Ottawa,City,Champlain
Dunrobin,Ottawa,City,Champlain
Kanata,Ottawa,City,Champlain
Manotick Station,Ottawa,City,Champlain
Nepean,Ottawa,City,Champlain
Orleans,Ottawa,City,Champlain
Richmond,Ottawa,City,Champlain
Stittsville,Ottawa,City,Champlain
Woodlawn,Ottawa,City,Champlain
Carp,Ottawa,City of,Champlain
Fallingbrook,Ottawa,City of,Champlain
Greely,Ottawa,City of,Champlain
Drumbo,Oxford,County,South West
Mount Elgin,Oxford,County,South West
Springford,Oxford,County,South West
Sundridge,Parry Sound,District,North East
Rosseau Falls,Parry Sound,District,North East
Callander,Parry Sound,District,North East
Novar,Parry Sound,District,North East
Bolton,Peel,Region,Central West
Caledon East,Peel,Regional Municipality of,Central West
Caledon Village,Peel,Regional Municipality of,Central West
Monkton,Perth,County,South West
Mitchell/Ontario,Perth,County of,South West
Bridgenorth,Peterborough,County,Central East
Havelock,Peterborough,County,Central East
Lakefield,Peterborough,County,Central East
Cavan,Peterborough,County of,Central East
Casselman,Prescott and Russell,County,Champlain
Rockland,Prescott and Russell,County,Champlain
Russell,Prescott and Russell,County,Champlain
Vankleek Hill,Prescott and Russell,United Counties of,Champlain
Bloomfield,Prince Edward,City,South East
Picton,Prince Edward,City,South East
Eganville,Renfrew,County,Champlain
Petawawa,Renfrew,County,Champlain
Killaloe,Renfrew,County of,Champlain
Alliston,Simcoe,County,North Simcoe Muskoka
Angus,Simcoe,County,North Simcoe Muskoka
Beeton,Simcoe,County,Central
Bradford,Simcoe,County,Central
Brechin,Simcoe,County,North Simcoe Muskoka
Egbert,Simcoe,County,North Simcoe Muskoka
Innisfil,Simcoe,County,North Simcoe Muskoka
Loretto,Simcoe,County,Central
Thornton,Simcoe,County,North Simcoe Muskoka
Tottenham,Simcoe,County,Central
Utopia,Simcoe,County,North Simcoe Muskoka
Wasaga Beach,Simcoe,County,North Simcoe Muskoka
Washago,Simcoe,County,North Simcoe Muskoka
Shanty Bay,Simcoe,County of,North Simcoe Muskoka
Hawkestone Beach,Simcoe,County of,North Simcoe Muskoka
Duntroon,Simcoe,County of,North Simcoe Muskoka
Chesterville,"Stormont, Dundas and Glengarry",County,Champlain
Moose Creek,"Stormont, Dundas and Glengarry",County,Champlain
Morrisburg,"Stormont, Dundas and Glengarry",County,Champlain
Williamsburg,"Stormont, Dundas and Glengarry",County,Champlain
Iroquois,"Stormont, Dundas and Glengarry",United Counties of,Champlain
Longlac,Thunder Bay,District,North West
Marathon,Thunder Bay,District,North West
