city,Geographic.area
Etobicoke,Toronto
Concord,York
Courtice,Durham
Millbrook,Peterborough
Alexandria,"Stormont, Dundas and Glengarry"
Ridgeway,Niagara
Beamsville,Niagara
Angus,Simcoe
Stayner,Simcoe
Scarborough,Toronto
Bowmanville,Durham
Lindsay,Kawartha Lakes
Georgetown,Halton
Woodbridge,York
North York,Toronto
Baden,Waterloo
Belmont,Elgin
Rockland,Prescott and Russell
Kanata,Ottawa
Stoney Creek,Hamilton
Havelock,Peterborough
Fenelon Falls,Kawartha Lakes
Fergus,Wellington
Stouffville,York
Stittsville,Ottawa
Bolton,Peel
Ayton,Grey
Cargill,Bruce
Almonte,Lanark
Keswick,York
Dunrobin,Ottawa
East York,Toronto
Thornhill,York
Acton,Halton
Enterprise,Lennox and Addington
Wiarton,Bruce
Port Rowan,Norfolk
Ashton,Lanark
Alliston,Simcoe
Napanee,Lennox and Addington
Elk Lake,Timiskaming
Maple,York
Paris,Brant
L'Orignal,Prescott and Russell
Nepean,Ottawa
Dundas,Hamilton
Blenheim,Chatham-Kent
Kinburn,Huron
Hagersville,Haldimand
Waterford,Norfolk
Breslau,Waterloo
Pakenham,Lanark
Lansdowne,Leeds and Grenville
Bridgenorth,Peterborough
Limoges,Prescott and Russell
Dresden,Chatham-Kent
Jarvis,Haldimand
Binbrook,Hamilton
Harriston,Wellington
Mount Forest,Wellington
Picton,Prince Edward
Ancaster,Hamilton
Cannington,Durham
Janetville,Kawartha Lakes
Blackstock,Durham
Lakefield,Peterborough
Corbeil,Nipissing
Ramore,Cochrane
Waterdown,Hamilton
Wallaceburg,Chatham-Kent
Belwood,Wellington
Grand Bend,Lambton
Trenton,Hastings
Amhertsburg,Essex
Eganville,Renfrew
Ardendale,Frontenac
King City,York
Wingham,Huron
Orleans,Ottawa
Chatham,Chatham-Kent
Downsview,Toronto
Monkton,Perth
Utterson,Muskoka
Manotick Station,Ottawa
Flesherton,Grey
North Woodslee,Essex
Springford,Oxford
Morrisburg,"Stormont, Dundas and Glengarry"
Algoma Mills,Algoma
Milverton,Perth
Chesterville,"Stormont, Dundas and Glengarry"
Sydenham,Frontenac
South Porcupine,Cochrane
Springfield,Elgin
Stevensville,Niagara
Caledonia,Haldimand
Clinton,Huron
Dunnville,Haldimand
Chelmsford,Greater Sudbury
Forest,Lambton
Port Elgin,Bruce
Walkerton,Bruce
Zurich,Huron
Kirkfield,Kawartha Lakes
Little Current,Manitoulin
Hood,Lanark
New Hamburg,Waterloo
Badjeros,Grey
Williamsburg,"Stormont, Dundas and Glengarry"
Wyoming,Lambton
Capreol,Greater Sudbury
Delhi,Norfolk
Godfrey,Frontenac
Attawapiskat,Kenora
Sandy Lake,Kenora
Richmond,Ottawa
Washago,Simcoe
Loretto,Simcoe
Tottenham,Simcoe
Omemee,Kawartha Lakes
Brechin,Simcoe
Elmira,Waterloo
Sutton West,York
Mount Brydges,Middlesex
Wyecombe,Norfolk
Beeton,Simcoe
Longlac,Thunder Bay
Coe Hill,Hastings
Ohsweken,Brant
Arkell,Wellington
Bradford,Simcoe
Kleinburg Station,York
Brooklin,Durham
Severn Bridge,Muskoka
Ayr,Waterloo
Corbyville,Hastings
Fingal,Elgin
Nobleton,York
Ridgetown,Chatham-Kent
Egbert,Simcoe
Cumberland,Ottawa
Geraldton,Thunder Bay
Rodney,Elgin
Rockwood,Wellington
Lancaster,"Stormont, Dundas and Glengarry"
Mount Elgin,Oxford
Barrhaven,Ottawa
Sunderland,Durham
Kasabonika,Kenora
Slate Falls,Kenora
Thornton,Simcoe
Sturgeon Falls,Nipissing
Moose Creek,"Stormont, Dundas and Glengarry"
Bloomfield,Prince Edward
Pontypool,Kawartha Lakes
Barry's Bay,Renfrew
Unionville,York
Lively,Greater Sudbury
Strathroy,Middlesex
Mount Albert,York
Watford,Lambton
Scotland,Brant
Campbellford,Northumberland
Mountain Grove,Frontenac
Haileybury,Timiskaming
Colborne,Northumberland
Thorndale,Middlesex
Lion's Head,Bruce
Woodlawn,Ottawa
Orchardville,Grey
Drumbo,Oxford
Big Trout Lake,Kenora
Clarksburg,Grey
Exeter,Huron
Wikwemikong,Manitoulin
Corunna,Lambton
Utopia,Simcoe
