city,Geographic.area
Acton,Halton
Alexandria,"Stormont, Dundas and Glengarry"
Algoma Mills,Algoma
Alliston,Simcoe
Almonte,Lanark
Amhertsburg,Essex
Ancaster,Hamilton
Angus,Simcoe
Ardendale,Frontenac
Arkell,Wellington
Ashton,Lanark
Attawapiskat,Kenora
Ayr,Waterloo
Ayton,Grey
Baden,Waterloo
Badjeros,Grey
Barrhaven,Ottawa
Barry's Bay,Renfrew
Beamsville,Niagara
Beeton,Simcoe
Belmont,Elgin
Belwood,Wellington
Big Trout Lake,Kenora
Binbrook,Hamilton
Blackstock,Durham
Blenheim,Chatham-Kent
Bloomfield,Prince Edward
Bolton,Peel
Bowmanville,Durham
Bradford,Simcoe
Brantford,Brantford
Brechin,Simcoe
Breslau,Waterloo
Bridgenorth,Peterborough
Brooklin,Durham
Caledonia,Haldimand
Campbellford,Northumberland
Cannington,Durham
Capreol,Greater Sudbury
Cargill,Bruce
Chatham,Chatham-Kent
Chelmsford,Greater Sudbury
Chesterville,"Stormont, Dundas and Glengarry"
Clarksburg,Grey
Clinton,Huron
Coe Hill,Hastings
Colborne,Northumberland
Concord,York
Corbeil,Nipissing
Corbyville,Hastings
Corunna,Lambton
Courtice,Durham
Cumberland,Ottawa
Delhi,Norfolk
Downsview,Toronto
Dresden,Chatham-Kent
Drumbo,Oxford
Dundas,Hamilton
Dunnville,Haldimand
Dunrobin,Ottawa
Durham,Grey
East York,Toronto
Eganville,Renfrew
Egbert,Simcoe
Elk Lake,Timiskaming
Elmira,Waterloo
Enterprise,Lennox and Addington
Etobicoke,Toronto
Exeter,Huron
Fenelon Falls,Kawartha Lakes
Fergus,Wellington
Fingal,Elgin
Flesherton,Grey
Forest,Lambton
Georgetown,Halton
Geraldton,Thunder Bay
Godfrey,Frontenac
Grand Bend,Lambton
Greater Sudbury,Greater Sudbury
Hagersville,Haldimand
Haileybury,Timiskaming
Haliburton,Haliburton
Harriston,Wellington
Hastings,Northumberland
Havelock,Peterborough
Hood,Lanark
Janetville,Kawartha Lakes
Jarvis,Haldimand
Kanata,Ottawa
Kasabonika,Kenora
Kawartha Lakes,Kawartha Lakes
Keswick,York
Kinburn,Huron
King City,York
