"Municipal.status","Geographic.area","Full_title","city"
"Lower Tier","Lennox and Addington","Addington Highlands, Township of","Addington Highlands"
"Lower Tier","Middlesex","Adelaide-Metcalfe, Township of","Adelaide-Metcalfe"
"Lower Tier","Simcoe","Adjala-Tosorontio, Township of","Adjala-Tosorontio"
"Lower Tier","Renfrew","Admaston/Bromley, Township of","Admaston/Bromley"
"Lower Tier","Durham","Ajax, Town of","Ajax"
"Single Tier","Rainy River","Alberton, Township of","Alberton"
"Lower Tier","Prescott and Russell","Alfred and Plantagenet, Township of","Alfred and Plantagenet"
"Lower Tier","Haliburton","Algonquin Highlands, Township of","Algonquin Highlands"
"Lower Tier","Northumberland","Alnwick/Haldimand, Township of","Alnwick/Haldimand"
"Lower Tier","Dufferin","Amaranth, Township of","Amaranth"
"Lower Tier","Essex","Amherstburg, Town of","Amherstburg"
"Single Tier","Parry Sound","Armour, Township of","Armour"
"Single Tier","Timiskaming","Armstrong, Township of","Armstrong"
"Lower Tier","Renfrew","Arnprior, Town of","Arnprior"
"Lower Tier","Bruce","Arran-Elderslie, Municipality of","Arran-Elderslie"
"Lower Tier","Huron","Ashfield-Colborne-Wawanosh, Township of","Ashfield-Colborne-Wawanosh"
"Lower Tier","Peterborough","Asphodel-Norwood, Township of","Asphodel-Norwood"
"Single Tier","Manitoulin","Assiginack, Township of","Assiginack"
"Lower Tier","Leeds and Grenville","Athens, Township of","Athens"
"Single Tier","Rainy River","Atikokan, Town of","Atikokan"
"Lower Tier","Leeds and Grenville","Augusta, Township of","Augusta"
"Lower Tier","York","Aurora, Town of","Aurora"
"Lower Tier","Elgin","Aylmer, Town of","Aylmer"
"Single Tier","Sudbury","Baldwin, Township of","Baldwin"
"Lower Tier","Hastings","Bancroft, Town of","Bancroft"
"Single Tier","Simcoe","Barrie, City of","Barrie"
"Lower Tier","Elgin","Bayham, Municipality of","Bayham"
"Lower Tier","Lanark","Beckwith, Township of","Beckwith"
"Single Tier","Hastings","Belleville, City of","Belleville"
"Single Tier","Manitoulin","Billings, Township of","Billings"
"Single Tier","Cochrane","Black River-Matheson, Township of","Black River-Matheson"
"Lower Tier","Oxford","Blandford-Blenheim, Township of","Blandford-Blenheim"
"Single Tier","Algoma","Blind River, Town of","Blind River"
"Lower Tier","Huron","Bluewater, Municipality of","Bluewater"
"Single Tier","Nipissing","Bonfield, Township of","Bonfield"
